WEEKLY MATERIAL INVENTORY,,,,,,,,,,,,,,,,,,,,,,,
F-IVM-008 || Rev.1 || 10/05/2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Project:,ALTAIRE,,,,,,,,,,,,,,,,,,,,,
,Subject:,Monthly Inventory Monitoring November 2024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, FINAL ,,,,,,,,,,,,,,,,,
#,NewCoDe,Item Description,UOM, Trade ,Beginning Balance as of 11/3/24, STOCK ON HAND ,,,,,,,,,,,,,,,,,
,,,,,,11/4/24 - 11/9/24,,,11/11/24 - 11/16/24,,,11/18/24 - 11/23/24,,,11/25/24 - 11/30/24,,,10/28/24 - 11/2/24,,,,,
,,,,,,10-Nov-24,,,17-Nov-24,,,24-Nov-24,,,01-Dec-24,,,08-Dec-24,,,,,
,,,,,,IN, OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , TOTAL RECEIVE , TOTAL ISSUED , STOCK ON HAND 
,,,,,,TOTAL RECEIVED, TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,,,,
38,0F-05-001794," Floor Tile  -  US  Black,  800mm  x  600mmx18mm Thickness  Process:  Light  Leather  Face  Weight: 308.88 kg Area Coverage: 6.24 sq. m ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
39,0F-05-001802," Wall Tile - Sivec White, 1770mm x 600mmx17.5mm thickness Process: Honed +5 faces Waterproof Weight: 6088.45 kg Area Coverage: 133.812 sq. m ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
40,0F-05-001807," Wall Tile - Sivec White, 2500mm x 1300mmx 17.5mm thickness Process: Honed +5 faces Waterproof Weight: 2070.25 kg Area Coverage: 45.5 sq. m ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
41,0F-05-00601," Architectural, Wall/ Floor Finish - Tile - , Luxe Zaire;white, 60x60cm ", Piece , 0-Architectural ,584,,,584.0,,,584.0,,,584.0,,,584.0,,,584.0,0.0,0.0, 584.0 
42,0F-05-0220," Architectural, Wall/ Floor Finish - Tile - MST601202LP, 600mmx1200mm ", Piece , 0-Architectural ,"1,392",,,"1,392.0",,,"1,392.0",,,"1,392.0",,,"1,392.0",,,"1,392.0",0.0,0.0," 1,392.0 "
43,0F-05-0230," Architectural, Wall/ Floor Finish - Tile - Matte, 600mmx600mm ", Piece , 0-Architectural ,384,,,384.0,,,384.0,,,384.0,,,384.0,,,384.0,0.0,0.0, 384.0 
44,0F-05-1113," Architectural, Wall/ Floor Finish - Tile -  Porcelain, Model No. 715822,Polished Finish Tile 750mmx1500mm ", Piece , 0-Architectural ,280,,,280.0,,,280.0,,,280.0,,,280.0,,,280.0,0.0,0.0, 280.0 
45,0F-06-0211," Architectural, Wall/ Floor Finish - Stone - Cobble, Black, 100mm x 100mm ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
46,0F-06-0311," Flamed Finish, MG Black A, 1150mm x 700mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
47,0F-06-0312," Flamed Finish, MG Black A, 1150mm x 600mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
